"PUBMED.ID","MAPPED_TRAIT","BROAD.ANCESTRAL.CATEGORY","NUMBER.OF.INDIVIDUALS","INITIAL.SAMPLE.SIZE"
"26732429","lung carcinoma;lung adenocarcinoma","East Asian;East Asian","13154;13154","6,877 East Asian ancestry never smoker cases, 6,277 East Asian ancestry never smoker controls;Up to 5,744 Chinese ancestry cases, up to 4,817 Chinese ancestry controls, up to 1,133 Japanese ancestry cases, up to 1,460 Japanese ancestry controls"
"26829030","squamous cell carcinoma","European","61457","6,891 European ancestry cases, 54,566 European ancestry controls"
"26908436","squamous cell carcinoma","European","13550","745 European ancestry cases, 12,805 European ancestry controls"
"26956414","chronic lymphocytic leukemia","European","10767","3,100 European ancestry cases, 7,667 European ancestry controls"
"26965516","colorectal cancer","East Asian","21096","4,508 East Asian ancestry cases, 16,588 East Asian ancestry controls"
"27008869","endometrial carcinoma","European","16852","4,907 European ancestry cases, 11,945 European ancestry controls"
"27117709","estrogen-receptor negative breast cancer;breast carcinoma","European;European","19291;19291","4,939 European ancestry cases, 14,352 European ancestry controls;4,939 European ancestry estrogen receptor-negative cases, 14,352 European ancestry controls"
"27135401","endometrial carcinoma;endometrial endometrioid carcinoma","European;European","11756;11626","2,082 European ancestry endometrioid cases, 130 European ancestry cases,  9,544 European ancestry controls;2,082 European ancestry cases, 9,544 European ancestry controls"
"27197191","cancer, lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma;cancer, lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma","European;European","123671;123671","5,020 European ancestry lung cancer cases, 3,718 European ancestry lung adenocarcinoma cases, 3,422 European ancestry lung squamous cell carcinoma cases, 15,414 European ancestry colorectal cancer cases, 10,809 European ancestry breast cancer cases, 4,939 European ancestry estrogen receptor negative breast cancer cases, 1,098 European ancestry ovarian cancer cases, 2,556 European ancestry serous ovarian cancer cases, 715 European ancestry ovarian endometrioid carcinoma cases, 9,710 European ancestry prostate cancer cases, 4,450 European ancestry aggressive prostate cancer cases,  61,820 European ancestry controls;5,020 European ancestry lung cancer cases, 3,718 European ancestry lung adenocarcinoma cases, 3,422 European ancestry lung squamous cell carcinoma cases, 15,414 European ancestry colorectal cancer cases, 10,809 European ancestry breast cancer cases, 4,939 European ancestry estrogen receptor negative breast cancer cases, 1,098 European ancestry ovarian cancer cases, 2,556 European ancestry serous ovarian cancer cases, 715 European ancestry ovarian endometrioid carcinoma cases, 9,710 European ancestry prostate cancer cases, 4,450 European ancestry aggressive prostate cancer cases,  61,820 European ancestry controls"
"27354352","breast carcinoma","East Asian","13905","7,619 East Asian ancestry cases, 6,286 East Asian ancestry controls"
"27363682","multiple myeloma","European","241704","7,319 European ancestry cases, 234,385 European ancestry controls"
"27424798","cutaneous squamous cell carcinoma","European","287137","6,579 European ancestry cases, 280,558 European ancestry controls"
"27432226","prostate carcinoma, breast carcinoma, ovarian carcinoma","European","228770","62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls"
