"PUBMED.ID","MAPPED_TRAIT","BROAD.ANCESTRAL.CATEGORY","NUMBER.OF.INDIVIDUALS","INITIAL.SAMPLE.SIZE"
"31649266","uterine fibroid, Menorrhagia;uterine fibroid;uterine fibroid","European;European;European","202580;58655;244324","3,409 European ancestry cases, 199,171 European ancestry controls;20,406 European ancestry cases, 223,918 European ancestry controls;20,406 European ancestry cases, 223,918 European ancestry controls"
"31710517","idiopathic pulmonary fibrosis","European","11259","2,668 European ancestry cases, 8,591 European ancestry controls"
"31757997","breast carcinoma","East Asian","28599","6,669 Japanese ancestry cases, 21,930 Japanese ancestry controls"
"31767839","B-cell acute lymphoblastic leukemia;B-cell acute lymphoblastic leukemia;B-cell acute lymphoblastic leukemia","European;European;European","17602;18035;21987","936 European ancestry cases, 16,666 European ancestry controls;1,369 European ancestry cases, 16,666 European ancestry controls;5,321 European ancestry cases, 16,666 European ancestry controls"
"31815349","cirrhosis of liver","European","408961","1,088 British ancestry cases, 407,873 British ancestry controls"
"31826910","colorectal cancer","East Asian","72272","23,572 East Asian ancestry cases, 48,700 East Asian ancestry controls"
"31935283","multiple myeloma","African American or Afro-Caribbean, African unspecified","10684","1,813 African American and African ancestry cases, 8,871 African American and African ancestry controls"
"32041948","cutaneous squamous cell carcinoma","European","699198","19,149 European ancestry cases, 680,049 European ancestry controls"
"32139696","breast carcinoma;breast carcinoma;breast carcinoma;breast carcinoma","European;East Asian;Asian unspecified;East Asian","228951;48981;11642;70806","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls;24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls;35,035 East Asian ancestry cases, 35,771 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls;35,035 East Asian ancestry cases, 35,771 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls"
"32324875","colorectal adenocarcinoma, body mass index","European","28475","14,059 European ancestry cases, 14,416 European ancestry controls"
"32341527","cutaneous melanoma, hair color;cutaneous melanoma, hair color;nevus count, cutaneous melanoma;nevus count, cutaneous melanoma;cutaneous melanoma","European;European;European;NR;European","352662;411948;424878;52847;411948","36,760 European ancestry cutaneous melanoma cases, 375,188 European ancestry controls, 352,662 European ancestry individuals;36,760 European ancestry cutaneous melanoma cases, 375,188 European ancestry controls, 352,662 European ancestry individuals;36,760 European ancestry cutaneous melanoma cases, 375,188 European ancestry controls, 12,930 European ancestry individuals, 52,847 individuals;36,760 European ancestry cutaneous melanoma cases, 375,188 European ancestry controls, 12,930 European ancestry individuals, 52,847 individuals;36,760 European ancestry cases, 375,188 European ancestry controls"
"32424353","breast carcinoma;breast carcinoma;triple-negative breast cancer","European;European;European","247173;197755;118987","133,384 European ancestry cases, 113,789 European ancestry controls;106,278 European ancestry cases, 91,477 European ancestry controls;8,602 European ancestry triple negative cases, 9,414 European ancestry BRCA1 mutation carrier cases, 100,971 European ancestry controls"
"32514122","biliary tract cancer;breast carcinoma;cervical carcinoma;colorectal cancer;endometrial carcinoma;esophageal carcinoma;gastric carcinoma;hematopoietic and lymphoid system neoplasm;hepatocellular carcinoma;lung carcinoma;ovarian carcinoma;pancreatic carcinoma;prostate carcinoma;cirrhosis of liver;uterine fibroid;biliary tract cancer;colorectal cancer;esophageal carcinoma;gastric carcinoma;hematopoietic and lymphoid system neoplasm;hepatocellular carcinoma;lung carcinoma;pancreatic carcinoma;cirrhosis of liver;biliary tract cancer;colorectal cancer;esophageal carcinoma;gastric carcinoma;hematopoietic and lymphoid system neoplasm;hepatocellular carcinoma;lung carcinoma;pancreatic carcinoma;cirrhosis of liver","East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian","196084;95283;90336;202807;90730;197045;202308;212453;197611;212453;90451;196187;109347;212453;100964;97866;102151;98787;102540;109347;99039;109347;97943;109347;98218;100656;98258;99768;103106;98572;103106;98244;103106","339 Japanese ancestry cases, 195,745 Japanese ancestry controls;5,552 Japanese ancestry cases, 89,731 Japanese ancestry controls;605 Japanese ancestry cases, 89,731 Japanese ancestry controls;7,062 Japanese ancestry cases, 195,745 Japanese ancestry controls;999 Japanese ancestry cases, 89,731 Japanese ancestry controls;1,300 Japanese ancestry cases, 195,745 Japanese ancestry controls;6,563 Japanese ancestry cases, 195,745 Japanese ancestry controls;1,236 Japanese ancestry cases, 211,217 Japanese ancestry controls;1,866 Japanese ancestry cases, 195,745 Japanese ancestry controls;4,050 Japanese ancestry cases, 208,403 Japanese ancestry controls;720 Japanese ancestry cases, 89,731 Japanese ancestry controls;442 Japanese ancestry cases, 195,745 Japanese ancestry controls;5,408 Japanese ancestry cases, 103,939 Japanese ancestry controls;2,184 Japanese ancestry cases, 210,269 Japanese ancestry controls;5,954 Japanese ancestry cases, 95,010 Japanese ancestry controls;211 Japanese ancestry male cases, 97,655 Japanese ancestry male controls;4,496 Japanese ancestry male cases, 97,655 Japanese ancestry male controls;1,132 Japanese ancestry male cases, 97,655 Japanese ancestry male controls;4,885 Japanese ancestry male cases, 97,655 Japanese ancestry male controls;701 Japanese ancestry male cases, 108,646 Japanese ancestry male controls;1,384 Japanese ancestry male cases, 97,655 Japanese ancestry male controls;2,710 Japanese ancestry male cases, 106,637 Japanese ancestry male controls;288 Japanese ancestry male cases, 97,655 Japanese ancestry male controls;1,347 Japanese ancestry male cases, 108,000 Japanese ancestry male controls;128 Japanese ancestry female cases, 98,090 Japanese ancestry female controls;2,566 Japanese ancestry female cases, 98,090 Japanese ancestry female controls;168 Japanese ancestry female cases, 98,090 Japanese ancestry female controls;1,678 Japanese ancestry female cases, 98,090 Japanese ancestry female controls;535 Japanese ancestry female cases, 102,571 Japanese ancestry female controls;482 Japanese ancestry female cases, 98,090 Japanese ancestry female controls;1,340 Japanese ancestry female cases, 101,766 Japanese ancestry female controls;154 Japanese ancestry female cases, 98,090 Japanese ancestry female controls;837 Japanese ancestry female cases, 102,269 Japanese ancestry female controls"
"32518416","clonal hematopoiesis","NR","32058","1,166 cases, 30,892 controls"
"32581250","pancreatic carcinoma","East Asian","34631","2,039 Japanese ancestry cases, 32,592 Japanese ancestry controls"
"32808324","breast carcinoma","European","33904","5,653 cases, 28,241 controls"
"32887889","breast carcinoma;testicular carcinoma;oropharynx cancer;esophageal carcinoma, gastric carcinoma;prostate carcinoma;melanoma;rectum cancer;colon carcinoma;lung carcinoma;thyroid carcinoma;lymphoid leukemia;pancreatic carcinoma;cervical carcinoma;urinary bladder carcinoma;kidney cancer;non-Hodgkins lymphoma;endometrial carcinoma;ovarian carcinoma;cancer;cancer","European;European;European;European;European;European;European;European;European;European;European;European;European;European;European;European;European;European;European;European","428231;360538;411573;411441;421142;417127;412441;414143;412835;411112;411202;411013;416913;412592;411688;412750;412387;411609;475312;475312","17,881 European ancestry cases, 410,350 European ancestry controls;713 European ancestry cases, 359,825 European ancestry controls;1,223 European ancestry cases, 410,350 European ancestry controls;1,091 European ancestry cases, 410,350 European ancestry controls;10,792 European ancestry cases, 410,350 European ancestry controls;6,777 European ancestry cases, 410,350 European ancestry controls;2,091 European ancestry cases, 410,350 European ancestry controls;3,793 European ancestry cases, 410,350 European ancestry controls;2,485 European ancestry cases, 410,350 European ancestry controls;762 European ancestry cases, 410,350 European ancestry controls;852 European ancestry cases, 410,350 European ancestry controls;663 European ancestry cases, 410,350 European ancestry controls;6,563 European ancestry cases, 410,350 European ancestry controls;2,242 European ancestry cases, 410,350 European ancestry controls;1,338 European ancestry cases, 410,350 European ancestry controls;2,400 European ancestry cases, 410,350 European ancestry controls;2,037 European ancestry cases, 410,350 European ancestry controls;1,259 European ancestry cases, 410,350 European ancestry controls;64,962 European ancestry cases, 410,350 European ancestry controls;64,962 European ancestry cases, 410,350 European ancestry controls"
"32889700","non-small cell lung carcinoma;non-small cell lung carcinoma;squamous cell lung carcinoma;lung adenocarcinoma","East Asian;European;East Asian, European;East Asian, European","26655;27820;35705;42936","27,120 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls;27,120 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls;8,350 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls;15,581 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls"
"32918910","esophageal adenocarcinoma, Barrett's esophagus;esophageal adenocarcinoma, Barrett's esophagus, sex interaction measurement;esophageal adenocarcinoma, Barrett's esophagus, sex interaction measurement","European;European;European","22091;22091;22091","6,758 European ancestry male cases, 1,670 European ancestry female cases, 7,489 European ancestry male controls, 6,174 European ancestry female controls;6,758 European ancestry male cases, 1,670 European ancestry female cases, 7,489 European ancestry male controls, 6,174 European ancestry female controls;6,758 European ancestry male cases, 1,670 European ancestry female cases, 7,489 European ancestry male controls, 6,174 European ancestry female controls"
"32981178","uterine fibroid;cervical carcinoma;endometrial carcinoma;ovarian carcinoma","East Asian;East Asian;East Asian;East Asian","44792;40094;40465;40203","5,236 Japanese ancestry cases, 39,556 Japanese ancestry controls;538 Japanese ancestry cases, 39,556 Japanese ancestry controls;909 Japanese ancestry cases, 39,556 Japanese ancestry controls;647 Japanese ancestry cases, 39,556 Japanese ancestry controls"
"33002439","gastric carcinoma","East Asian","21168","10,254 Han Chinese ancestry cases, 10,914 Han Chinese ancestry controls"
"33057200","myeloproliferative disorder;myeloproliferative disorder","European;European","176899;408241","1,086 British ancestry cases, 407,155 British ancestry controls, 640 Finnish ancestry cases, 176,259 Finnish ancestry controls;1,086 British ancestry cases, 407,155 British ancestry controls, 640 Finnish ancestry cases, 176,259 Finnish ancestry controls"
"33197388","idiopathic pulmonary fibrosis","European","451025","1,369 European ancestry cases, 435,866 European ancestry controls"
"33290408","prostate carcinoma, type 2 diabetes mellitus","European","801622","62,892 European ancestry T2D cases, 79,194 European ancestry PrCa cases, 659,536 European ancestry controls"
"33293427","prostate carcinoma","European","208253","14,113 European ancestry cases, 194,140 European ancestry controls"
"33310085","cirrhosis of liver","African unspecified, Asian unspecified, European, NR","440073","4,829 European, African, Asian and unknown ancestry cases, 72,705 European, African, Asian and unknown ancestry controls, 362,539 European, African, Asian and unknown ancestry individuals with ALT measurements"
"33338681","colorectal cancer, particulate matter air pollution measurement","European","13305","590 European ancestry cases, 55 Black cases, 9 Hispanic cases, 28 Asian ancestry cases, 5 cases, 12,715 European ancestry controls, 1,153 Black controls, 37 Hispanic controls, 94 Asian ancestry controls, 15 controls"
"33370439","keratinocyte carcinoma;keratinocyte carcinoma","European;European","669243;323345","669,243 European ancestry individuals;323,345 European ancestry individuals"
"33398198","prostate carcinoma;prostate carcinoma;prostate carcinoma;prostate carcinoma;prostate carcinoma;prostate carcinoma","East Asian;African American or Afro-Caribbean, African unspecified;European;European;East Asian;African American or Afro-Caribbean, African unspecified","27420;21354;177526;177526;27420;21354","8,611 East Asian ancestry cases, 18,809 East Asian ancestry controls;10,368 African ancestry cases, 10,986 African ancestry controls;85,554 European ancestry cases, 91,972 European ancestry controls;85,554 European ancestry cases, 10,368 African ancestry cases, 8,611 East Asian ancestry cases, 2,714 Hispanic cases, 91,972 European ancestry controls, 10,986 African ancestry controls, 18,809 East Asian ancestry controls, 5,239 Hispanic controls;85,554 European ancestry cases, 10,368 African ancestry cases, 8,611 East Asian ancestry cases, 2,714 Hispanic cases, 91,972 European ancestry controls, 10,986 African ancestry controls, 18,809 East Asian ancestry controls, 5,239 Hispanic controls;85,554 European ancestry cases, 10,368 African ancestry cases, 8,611 East Asian ancestry cases, 2,714 Hispanic cases, 91,972 European ancestry controls, 10,986 African ancestry controls, 18,809 East Asian ancestry controls, 5,239 Hispanic controls"
"33549134","basal cell carcinoma","European","392871","17,416 European ancestry cases, 375,455 European ancestry controls"
"33574088","smoking status measurement, pancreatic carcinoma","European","19711","7,937  European ancestry cases, 11,774 European ancestry controls"
"33632709","colorectal cancer;colon carcinoma;rectum cancer;colorectal cancer;colorectal cancer","European;European;European;European;European","94747;961616;80371;78535;79856","30,588 European ancestry cases, 64,159 European ancestry controls;32,002 European ancestry cases, 64,159 European ancestry controls;16,212 European ancestry cases, 64,159 European ancestry controls;14,376 European ancestry cases, 64,159 European ancestry controls;15,706 European ancestry cases, 64,159 European ancestry controls"
"33667223","upper aerodigestive tract neoplasm","European","75848","7,426 European ancestry lung squamous cell carcinoma cases, 5,452 European ancestry oral and oropharynx squamous cell carcinoma cases, 693 European ancestry laryngeal squamous cell carcinoma cases, 316 European ancestry esophageal squamous cell carcinoma cases, 61,961 European ancestry controls"
"33758299","idiopathic pulmonary fibrosis","European","119807","752 European ancestry cases, 119,055 European ancestry controls"
"33794208","cervical carcinoma, Cervical Intraepithelial Neoplasia Grade 2/3;Cervical Intraepithelial Neoplasia Grade 2/3;cervical carcinoma","European;European;European","150314;149550;146309","764 European ancestry invasive cervical cancer cases, 4,005 European ancestry cervical intraepithelial neoplasia grade 3 cases, 145,545 European ancestry controls;4,005 European ancestry cases, 145,545 European ancestry controls;764 European ancestry cases, 145,545 European ancestry controls"
"33875642","multiple myeloma;multiple myeloma, monoclonal gammopathy","European;European","350263;427613","4,376 European ancestry cases, 345,887 European ancestry controls;4,376 European ancestry multiple myeloma cases, 944 European ancestry monoclonal gammopathy of undetermined significance cases, 422,293 European ancestry controls"
"33893285","cancer;cancer;cancer;cancer;cancer","European;European;European;European;European","56637;56637;56637;56637;56637","17,131 European ancestry cases, 39,506 European ancestry controls;17,131 European ancestry cases, 39,506 European ancestry controls;17,131 European ancestry cases, 39,506 European ancestry controls;17,131 European ancestry cases, 39,506 European ancestry controls;17,131 European ancestry cases, 39,506 European ancestry controls"
"34017140","colorectal cancer;thyroid carcinoma;colorectal cancer;thyroid carcinoma","European;European;European;European","407746;407746;407746;407746","407,746 British ancestry individuals;407,746 British ancestry individuals;407,746 British ancestry individuals;407,746 British ancestry individuals"
"34033851","primary biliary cirrhosis;primary biliary cirrhosis;primary biliary cirrhosis","European;European;East Asian","24510;31288;31288","8,021 European ancestry cases, 16,489 European ancestry controls;8,021 European ancestry cases, 16,489 European ancestry controls, 2,495 East Asian ancestry cases, 4,283 East Asian ancestry controls;8,021 European ancestry cases, 16,489 European ancestry controls, 2,495 East Asian ancestry cases, 4,283 East Asian ancestry controls"
"34062886","colorectal cancer;lung cancer","European;European","15091;15089","211 European ancestry female cases, 186 European ancestry male cases, 8,382 European ancestry female controls, 6,312 European ancestry male controls;237 European ancestry female cases, 220 European ancestry male cases, 8,354 European ancestry female controls, 6,278 European ancestry male controls"
"34216462","pancreatic ductal adenocarcinoma","European","14269","7,207 European ancestry cases, 7,062 European ancestry controls"
"34234117","breast carcinoma;breast carcinoma;estrogen-receptor positive breast cancer;estrogen-receptor positive breast cancer;estrogen-receptor negative breast cancer;estrogen-receptor negative breast cancer;breast carcinoma;estrogen-receptor positive breast cancer;estrogen-receptor negative breast cancer;breast carcinoma;estrogen-receptor positive breast cancer;estrogen-receptor negative breast cancer","African unspecified;European;African unspecified;European;African unspecified;European;African unspecified;African unspecified;African unspecified;European;European;European","19434;228951;14492;175475;12829;127442;19434;14492;12829;228951;175475;127442","9,241 African ancestry cases, 10,193 African ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls;9,241 African ancestry cases, 10,193 African ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls;4,299 African ancestry cases, 10,193 African ancestry controls, 69,501 European ancestry cases, 105,974 European ancestry controls;4,299 African ancestry cases, 10,193 African ancestry controls, 69,501 European ancestry cases, 105,974 European ancestry controls;2,636 African ancestry cases, 10,193 African ancestry controls, 21,468 European ancestry cases, 105,974 European ancestry controls;2,636 African ancestry cases, 10,193 African ancestry controls, 21,468 European ancestry cases, 105,974 European ancestry controls;9,241 African ancestry cases, 10,193 African ancestry controls;4,299 African ancestry cases, 10,193 African ancestry controls;2,636 African ancestry cases, 10,193 African ancestry controls;122,977 European ancestry cases, 105,974 European ancestry controls;69,501 European ancestry cases, 105,974 European ancestry controls;21,468 European ancestry cases, 105,974 European ancestry controls"
"34290314","cancer;breast carcinoma;chronic lymphocytic leukemia;colorectal cancer;ovarian carcinoma;lung carcinoma;melanoma;non-melanoma skin carcinoma;pancreatic carcinoma;prostate carcinoma","European;European;European;European;European;European;European;European;European;European","274830;149186;274830;274830;149186;274830;274830;274830;274830;125644","56,634 White British ancestry cases, 218,196 White British ancestry controls;10,682 White British ancestry cases, 138,504 White British ancestry controls;764 White British ancestry cases, 272,079 White British ancestry controls;3,351 White British ancestry cases, 271,479 White British ancestry controls;1,112 White British ancestry cases, 147,944 White British ancestry controls;2,479 White British ancestry cases, 272,351 White British ancestry controls;3,122 White British ancestry cases, 271,708 White British ancestry controls;18,944 White British ancestry cases, 255,886 White British ancestry controls;768 White British ancestry cases, 264,559 White British ancestry controls;7,438 White British ancestry cases, 118,206 White British ancestry controls"
"34315874","extrahepatic bile duct carcinoma","European","408183","148 British ancestry cases, 408,035 British ancestry controls"
"34407845","survival time, breast carcinoma;survival time, breast carcinoma;survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy;survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer;survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer, response to antineoplastic agent;survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer;response to tamoxifen, survival time, breast carcinoma;survival time, breast carcinoma, response to anthracycline-based chemotherapy;survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy;survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer, response to antineoplastic agent;survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer;response to tamoxifen, survival time, breast carcinoma;survival time, breast carcinoma, response to anthracycline-based chemotherapy","European;European;European;European;European;European;European;European;European;European;European;European;European","91686;22737;30137;35550;10394;10275;17327;11183;27340;10273;10156;16279;10393","91,686 European ancestry individuals;22,737 European ancestry individuals;30,137 European ancestry individuals;35,550 European ancestry individuals;10,394 European ancestry individuals;10,275 European ancestry individuals;17,327 European ancestry individuals;11,183 European ancestry individuals;27,340 European ancestry individuals;10,273 European ancestry individuals;10,156 European ancestry individuals;16,279 European ancestry individuals;10,393 European ancestry individuals"
"34469753","acute lymphoblastic leukemia","European","60538","2,666 European ancestry cases, 60,272 European ancestry controls"
"34537190","Epidermal Inclusion Cyst","European","408582","2,806 British ancestry cases, 405,776 British ancestry controls"
